Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.185.161-192.168.185.102-52599-10809-6,192.168.185.102,10809,192.168.185.161,52599,6,31/05/2024 08:52:35 PM,356,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8426.966292134832,178.0,141.4213562373095,278.0,78.0,0,0,0,0,0,356.0,178.0,141.4213562373095,278.0,78.0,0,0,0,0,0,60,0.0,8426.966292134832,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52600-10809-6,192.168.185.102,10809,192.168.185.161,52600,6,31/05/2024 08:52:37 PM,988,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3036.4372469635628,494.0,541.6437943888955,877.0,111.0,0,0,0,0,0,988.0,494.0,541.6437943888955,877.0,111.0,0,0,0,0,0,60,0.0,3036.4372469635628,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52602-10809-6,192.168.185.102,10809,192.168.185.161,52602,6,31/05/2024 08:52:41 PM,277,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10830.324909747293,138.5,99.7020561473032,209.0,68.0,0,0,0,0,0,277.0,138.5,99.7020561473032,209.0,68.0,0,0,0,0,0,60,0.0,10830.324909747293,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-125.235.36.208-52617-80-6,192.168.185.161,52617,125.235.36.208,80,6,31/05/2024 08:52:45 PM,100930,3,4,111.0,151.0,111.0,0.0,37.0,64.08587988004847,151.0,0.0,37.75,75.5,2595.858515803032,69.35499851382146,16821.666666666668,25863.90107981908,57329.0,1.0,43397.0,21698.5,28832.279002881474,42086.0,1311.0,100727.0,33575.66666666667,29899.311653169094,57329.0,1.0,0,0,0,0,60,104,29.723570791637766,39.63142772218369,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,1.0,37.42857142857143,37.0,37.75,0,0,0,0,0,0,3,111,4,151,-1,257,1,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-125.235.36.154-52618-80-6,192.168.185.161,52618,125.235.36.154,80,6,31/05/2024 08:52:46 PM,96041,2,5,111.0,151.0,111.0,0.0,55.5,78.48885271170677,151.0,0.0,30.2,67.52925292049365,2728.0015826574067,72.88553846794598,16006.833333333334,24108.250989374294,49957.0,1.0,1209.0,1209.0,0.0,1209.0,1209.0,96041.0,24010.25,27768.592298674415,49957.0,1.0,0,0,0,0,40,124,20.824439562270282,52.0610989056757,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,2.0,37.42857142857143,55.5,30.2,0,0,0,0,0,0,2,111,5,151,-1,32120,1,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-125.235.36.154-52618-80-6,192.168.185.161,52618,125.235.36.154,80,6,31/05/2024 08:52:46 PM,72,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27777.777777777777,72.0,0.0,72.0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13888.888888888889,13888.888888888889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52605-10809-6,192.168.185.102,10809,192.168.185.161,52605,6,31/05/2024 08:52:48 PM,673449,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4546803098675625,336724.5,476118.3302966816,673391.0,58.0,0,0,0,0,0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,20,40,1.4848934366225208,2.9697868732450416,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52605-10809-6,192.168.185.161,52605,192.168.185.102,10809,6,31/05/2024 08:52:48 PM,558,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.2293906810037,558.0,0.0,558.0,558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1792.1146953405018,1792.1146953405018,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52606-10809-6,192.168.185.161,52606,192.168.185.102,10809,6,31/05/2024 08:52:34 PM,14875378,0,3,0.0,1.0,0,0,0,0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.0672251824457839,0.2016755473373517,7437689.0,1.0512208619364059E7,1.4870943E7,4435.0,0,0,0,0,0,1.4875378E7,7437689.0,1.0512208619364059E7,1.4870943E7,4435.0,0,0,0,0,0,72,0.0,0.2016755473373517,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,3,1,-1,153,0,0,0,0,0,0,0,0,0,0,No Label
192.168.185.161-192.168.185.102-52606-10809-6,192.168.185.161,52606,192.168.185.102,10809,6,31/05/2024 08:52:49 PM,204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9803.921568627451,204.0,0.0,204.0,204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4901.9607843137255,4901.9607843137255,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
