Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.238.161-125.235.36.208-59296-80-6,192.168.238.161,59296,125.235.36.208,80,6,30/05/2024 10:42:36 PM,76592,3,4,111.0,151.0,111.0,0.0,37.0,64.08587988004847,151.0,0.0,37.75,75.5,3420.7227908919995,91.39335700856488,12765.333333333334,19705.041128266304,41046.0,0.0,35469.0,17734.5,24804.5987772429,35274.0,195.0,76451.0,25483.666666666664,22249.00380541415,41046.0,0.0,0,0,0,0,60,104,39.16858157509923,52.22477543346564,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,1.0,37.42857142857143,37.0,37.75,0,0,0,0,0,0,3,111,4,151,-1,257,1,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-125.235.36.154-59297-80-6,192.168.238.161,59297,125.235.36.154,80,6,30/05/2024 10:42:36 PM,101181,2,5,111.0,151.0,111.0,0.0,55.5,78.48885271170677,151.0,0.0,30.2,67.52925292049365,2589.418962058094,69.18294936796434,16863.5,26205.86713505203,55972.0,0.0,291.0,291.0,0.0,291.0,291.0,101181.0,25295.25,29587.980165094068,56380.0,0.0,0,0,0,0,40,124,19.766556962275526,49.41639240568882,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,2.0,37.42857142857143,55.5,30.2,0,0,0,0,0,0,2,111,5,151,-1,32120,1,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-125.235.36.154-59297-80-6,192.168.238.161,59297,125.235.36.154,80,6,30/05/2024 10:42:36 PM,101,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19801.980198019803,101.0,0.0,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9900.990099009901,9900.990099009901,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-192.168.238.119-59293-10809-6,192.168.238.119,10809,192.168.238.161,59293,6,30/05/2024 10:42:46 PM,3333909,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8998445968381261,1666954.5,2357368.8505756794,3333866.0,43.0,0,0,0,0,0,3333909.0,1666954.5,2357368.8505756794,3333866.0,43.0,0,0,0,0,0,60,0.0,0.8998445968381261,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-192.168.238.119-59293-10809-6,192.168.238.119,10809,192.168.238.161,59293,6,30/05/2024 10:42:49 PM,1128888,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716549383109752,1128888.0,0.0,1128888.0,1128888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8858274691554876,0.8858274691554876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,140,0,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-192.168.238.119-59277-10809-6,192.168.238.119,10809,192.168.238.161,59277,6,30/05/2024 10:42:37 PM,24347855,3,7,0.0,1241.0,0.0,0.0,0.0,0.0,1029.0,0.0,177.2857142857143,378.11713982385334,50.96958233076384,0.4107137979916506,2705317.222222222,5475449.298180738,1.4343875E7,37.0,1221.0,610.5,700.7428201558686,1106.0,115.0,2.4347855E7,4057975.8333333335,6434563.491748525,1.4343875E7,37.0,0,0,0,0,60,140,0.12321413939749519,0.28749965859415544,0.0,1029.0,112.8181818181818,306.241675211529,93783.96363636362,0,0,0,0,1,0,0,0,2.0,124.1,0.0,177.28571428571428,0,0,0,0,0,0,3,0,7,1241,-1,256,0,0,2806.5,3916.664460992287,5576.0,37.0,1.2171094E7,3072776.3582665757,1.4343875E7,9998313.0,No Label
192.168.238.161-192.168.238.119-59277-10809-6,192.168.238.119,10809,192.168.238.161,59277,6,30/05/2024 10:43:02 PM,982776,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0525775965225037,491388.0,625642.4231396078,933784.0,48992.0,933784.0,933784.0,0.0,933784.0,933784.0,0,0,0,0,0,0,0,0,0,40,20,2.0350517310150025,1.0175258655075012,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-203.113.182.201-59304-80-6,192.168.238.161,59304,203.113.182.201,80,6,30/05/2024 10:43:06 PM,102291,2,5,111.0,151.0,111.0,0.0,55.5,78.48885271170677,151.0,0.0,30.2,67.52925292049365,2561.3201552433743,68.43221788818175,17048.5,28670.417365291352,69002.0,0.0,147.0,147.0,0.0,147.0,147.0,102291.0,25572.75,32932.10872259271,69002.0,0.0,0,0,0,0,40,124,19.552062253766216,48.88015563441554,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,2.0,37.42857142857143,55.5,30.2,0,0,0,0,0,0,2,111,5,151,-1,32120,1,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-203.113.182.201-59304-80-6,192.168.238.161,59304,203.113.182.201,80,6,30/05/2024 10:43:06 PM,98,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10204.081632653062,10204.081632653062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.238.161-203.113.182.201-59305-80-6,192.168.238.161,59305,203.113.182.201,80,6,30/05/2024 10:43:07 PM,70007,3,4,111.0,151.0,111.0,0.0,37.0,64.08587988004847,151.0,0.0,37.75,75.5,3742.482894567686,99.9900009999,11667.833333333334,18748.547745536627,43460.0,1.0,26484.0,13242.0,18502.1560365272,26325.0,159.0,69866.0,23288.666666666664,21896.456798608615,43460.0,1.0,0,0,0,0,60,104,42.85285757138572,57.13714342851429,0.0,151.0,32.75,61.57631733989015,3791.6428571428564,0,1,0,0,0,0,0,0,1.0,37.42857142857143,37.0,37.75,0,0,0,0,0,0,3,111,4,151,-1,257,1,0,0,0,0,0,0,0,0,0,No Label
