2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 313 flow
2024-05-25 09:25:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 315 flow
2024-05-25 09:25:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 325 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 329 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 330 flow
2024-05-25 09:25:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 330 flow
2024-05-25 09:25:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 334 flow
2024-05-25 09:25:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 347 flow
2024-05-25 09:25:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 348 flow
2024-05-25 09:26:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 348 flow
2024-05-25 09:26:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 348 flow
2024-05-25 09:26:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 353 flow
2024-05-25 09:26:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 355 flow
2024-05-25 09:26:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 362 flow
2024-05-25 09:26:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 362 flow
2024-05-25 09:26:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 387 flow
2024-05-25 09:26:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 387 flow
2024-05-25 09:27:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 402 flow
2024-05-25 09:27:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 411 flow
2024-05-25 09:27:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 411 flow
2024-05-25 09:27:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 412 flow
2024-05-25 09:27:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 419 flow
2024-05-25 09:27:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 418 flow
2024-05-25 09:27:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 417 flow
2024-05-25 09:27:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 419 flow
2024-05-25 09:28:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 426 flow
2024-05-25 09:28:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 426 flow
2024-05-25 09:28:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 431 flow
2024-05-25 09:28:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 436 flow
2024-05-25 09:29:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 446 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:21 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 451 flow
2024-05-25 09:29:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 453 flow
2024-05-25 09:29:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 453 flow
2024-05-25 09:29:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 452 flow
2024-05-25 09:29:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 458 flow
2024-05-25 09:29:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 458 flow
2024-05-25 09:30:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 466 flow
2024-05-25 09:30:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 466 flow
2024-05-25 09:30:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 466 flow
2024-05-25 09:30:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 477 flow
2024-05-25 09:30:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 477 flow
2024-05-25 09:31:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 500 flow
2024-05-25 09:31:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 502 flow
2024-05-25 09:31:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 511 flow
2024-05-25 09:31:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 511 flow
2024-05-25 09:31:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 511 flow
2024-05-25 09:32:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 520 flow
2024-05-25 09:33:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 541 flow
2024-05-25 09:33:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 550 flow
2024-05-25 09:33:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 550 flow
2024-05-25 09:33:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 554 flow
2024-05-25 09:33:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 554 flow
2024-05-25 09:33:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 556 flow
2024-05-25 09:33:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 556 flow
2024-05-25 09:34:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 556 flow
2024-05-25 09:34:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 562 flow
2024-05-25 09:34:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 562 flow
2024-05-25 09:34:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 562 flow
2024-05-25 09:35:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 568 flow
2024-05-25 09:35:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 568 flow
2024-05-25 09:35:03 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 568 flow
2024-05-25 09:36:25 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 609 flow
2024-05-25 09:36:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 610 flow
2024-05-25 09:36:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 633 flow
2024-05-25 09:36:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 633 flow
2024-05-25 09:37:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 635 flow
2024-05-25 09:37:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 650 flow
2024-05-25 09:38:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 670 flow
2024-05-25 09:38:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 681 flow
2024-05-25 09:38:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 681 flow
2024-05-25 09:38:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 681 flow
2024-05-25 09:39:23 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 692 flow
2024-05-25 09:39:23 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 692 flow
2024-05-25 09:39:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 692 flow
2024-05-25 09:39:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 694 flow
2024-05-25 09:39:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 699 flow
2024-05-25 09:39:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 699 flow
2024-05-25 09:39:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 704 flow
2024-05-25 09:39:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 704 flow
2024-05-25 09:40:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 724 flow
2024-05-25 09:41:06 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 732 flow
2024-05-25 09:41:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 732 flow
2024-05-25 09:41:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2024-05-25 09:41:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2024-05-25 09:41:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
